PRJ;FolderName;Cobertos;Gerados;Cobertura;Mortos;Total;Escore
21ArvoreBinaria;ds.EvoSuiteTest.Evo;43;48;90%;153;160;96%
21ArvoreBinaria;ds.gptTest.ArvoreBinariaTest;34;48;71%;69;160;43%
21ArvoreBinaria;ds.EvoSuiteTest.ArvoreBinaria_ESTest_scaffolding;0;48;0%;0;160;0%
21ArvoreBinaria;ds.RandoopTest.Randoop;26;48;54%;28;160;18%
21ArvoreBinaria;ds.RandoopTest.Randoop0;26;48;54%;28;160;18%
23TabelaHash;ds.EvoSuiteTest.TabelaHash_ESTest_scaffolding;0;52;0%;0;166;0%
23TabelaHash;ds.EvoSuiteTest.Evo;52;52;100%;100;166;60%
23TabelaHash;ds.RandoopTest.Randoop;51;52;98%;146;166;88%
26Grafo;ds.EvoSuiteTest.Evo;51;51;100%;63;127;50%
26Grafo;ds.gptTest.GrafoTest;49;51;96%;86;127;68%
26Grafo;ds.EvoSuiteTest.Grafo_ESTest_scaffolding;0;51;0%;0;127;0%
26Grafo;ds.RandoopTest.Randoop;49;51;96%;82;127;65%
26Grafo;ds.RandoopTest.Randoop0;49;51;96%;82;127;65%
27Grafo;ds.EvoSuiteTest.Evo;33;33;100%;77;108;71%
27Grafo;ds.EvoSuiteTest.Grafo_ESTest_scaffolding;0;33;0%;0;108;0%
27Grafo;ds.RandoopTest.Randoop;33;33;100%;88;108;81%
27Grafo;ds.RandoopTest.Randoop0;33;33;100%;88;108;81%
29Grafo;ds.EvoSuiteTest.Evo;33;33;100%;77;108;71%
29Grafo;ds.EvoSuiteTest.Grafo_ESTest_scaffolding;0;33;0%;0;108;0%
29Grafo;ds.RandoopTest.Randoop0;33;33;100%;88;108;81%
30Lista;ds.EvoSuiteTest.Evo;32;32;100%;23;76;30%
30Lista;ds.EvoSuiteTest.AgmPrim_ESTest_scaffolding;0;32;0%;0;76;0%
30Lista;ds.gptTest.AgmPrimTest;32;32;100%;50;76;66%
30Lista;ds.RandoopTest.Randoop;9;32;28%;1;76;1%
30Lista;ds.RandoopTest.Randoop0;9;32;28%;1;76;1%
31CasamentoExato;ds.EvoSuiteTest.CasamentoExato_ESTest_scaffolding;0;40;0%;0;205;0%
31CasamentoExato;ds.EvoSuiteTest.Evo;40;40;100%;84;205;41%
31CasamentoExato;ds.RandoopTest.Randoop1;39;40;98%;118;205;58%
31CasamentoExato;ds.RandoopTest.Randoop2;38;40;95%;80;205;39%
31CasamentoExato;ds.RandoopTest.Randoop;40;40;100%;118;205;58%
31CasamentoExato;ds.RandoopTest.Randoop0;40;40;100%;110;205;54%
33Identifier;ds.EvoSuiteTest.Evo;22;22;100%;62;114;54%
33Identifier;ds.RandoopTest.Randoop;20;22;91%;59;114;52%
33Identifier;ds.RandoopTest.Randoop0;20;22;91%;59;114;52%
33Identifier;ds.EvoSuiteTest.Identifier_ESTest_scaffolding;0;22;0%;0;114;0%
